strain_name,sample_count,Percentage
B.1.1.308,88,0.0021105972126685716
B.1.258.10,87,0.0020866131534337017
B.1.128,87,0.0020866131534337017
AY.131,86,0.0020626290941988317
B.1.595.1,86,0.0020626290941988317
B.1.591,85,0.002038645034963962
B.1.360,85,0.002038645034963962
B.1.1.134,85,0.002038645034963962
B.1.1.270,85,0.002038645034963962
B.1.190,84,0.0020146609757290914
B.1.147,84,0.0020146609757290914
AY.9.2.2,84,0.0020146609757290914
AY.112.1,83,0.0019906769164942215
B.1.533,83,0.0019906769164942215
B.1.1.141,82,0.001966692857259351
B.1.177.47,82,0.001966692857259351
B.1.1.300,81,0.001942708798024481
B.1.385,81,0.001942708798024481
B.1.189,80,0.001918724738789611
B.1.554,80,0.001918724738789611
B.1.435,80,0.001918724738789611
B.1.1.55,79,0.0018947406795547408
B.1.1.208,79,0.0018947406795547408
AK.1,79,0.0018947406795547408
B.1.1.161,79,0.0018947406795547408
B.4.5,79,0.0018947406795547408
B.1.264,78,0.0018707566203198705
B.1.1.71,78,0.0018707566203198705
B.1.390,78,0.0018707566203198705
B.1.151,78,0.0018707566203198705
B.60,78,0.0018707566203198705
B.1.1.310,78,0.0018707566203198705
AY.124.1.1,78,0.0018707566203198705
AA.1,77,0.0018467725610850005
B.1.1.306,76,0.0018227885018501306
B.1.1.15,76,0.0018227885018501306
B.1.146,76,0.0018227885018501306
B.1.1.257,75,0.0017988044426152602
B.1.1.299,75,0.0017988044426152602
B.1.1.50,75,0.0017988044426152602
B.1.1.256,74,0.00177482038338039
B.1.1.521,74,0.00177482038338039
B.1.294,74,0.00177482038338039
B.1.117,73,0.00175083632414552
B.1.1.459,73,0.00175083632414552
AY.86,73,0.00175083632414552
B.1.76,73,0.00175083632414552
B.1.177.28,73,0.00175083632414552
K.2,72,0.0017268522649106497
AY.119.1,72,0.0017268522649106497
B.1.1.128,72,0.0017268522649106497
B.1.1.517,72,0.0017268522649106497
B.1.238,72,0.0017268522649106497
B.1.418,71,0.0017028682056757798
B.58,71,0.0017028682056757798
B.1.602,71,0.0017028682056757798
B.1.1.262,71,0.0017028682056757798
B.1.1.58,71,0.0017028682056757798
R.2,70,0.0016788841464409096
B.1.1.61,70,0.0016788841464409096
B.1.1.397,69,0.0016549000872060392
AA.6,69,0.0016549000872060392
B.1.1.323,69,0.0016549000872060392
B.1.1.130,68,0.0016309160279711693
B.1.485,68,0.0016309160279711693
AS.2,68,0.0016309160279711693
B.52,68,0.0016309160279711693
B.1.405,67,0.0016069319687362993
B.1.1.165,67,0.0016069319687362993
B.1.1.49,67,0.0016069319687362993
B.1.36.29,66,0.001582947909501429
B.1.165,66,0.001582947909501429
AY.127.1,66,0.001582947909501429
AA.5,66,0.001582947909501429
B.1.1.132,66,0.001582947909501429
B.1.480,65,0.0015589638502665588
B.1.37,65,0.0015589638502665588
B.1.1.43,65,0.0015589638502665588
B.1.1.374,65,0.0015589638502665588
B.1.1.285,64,0.0015349797910316888
B.1.1.149,64,0.0015349797910316888
B.1.1.296,63,0.0015109957317968187
B.1.556,62,0.0014870116725619483
B.1.550,62,0.0014870116725619483
B.1.1.57,62,0.0014870116725619483
B.1.398,61,0.0014630276133270781
B.1.210,60,0.0014390435540922082
B.1.515,59,0.001415059494857338
B.1.113,59,0.001415059494857338
B.1.379,59,0.001415059494857338
B.1.256,59,0.001415059494857338
